lemma,count
ἐπιπλάττομι,1
ἀντάω,40
ἤσκημαι,1
ἐνεχ́νω,1
πρσειληφόω,1
πυρεύω,1
συναίσσω,1
διεῖργω,3
διεξεργάζομαι,1
προσνικάω,2
ἐξακριβέω,1
ἐσφερίω,1
πάιγω,1
γιγμύμναμι,1
παρετείνω,1
συμμαλάσσω,4
προκαθαριεύω,1
ἀγγυάω,2
μβάπτω,1
κατακλίνω,288
ἀνθυπείγω,1
προσδοκῶμαι,3
Κόντρουκω,1
ἀντιλογίζομαι,6
ξυνεφέπω,1
ἀνασόω,1
ἀντιπαράκειμαι,3
διέσσυμαι,1
εἰσβόλλω,1
συνασπίζω,28
κικμήσκω,5
ἀπογνόω,2
παρευδοκιμέω,14
πρόθω,1
ἐπιδίξω,1
ἀνίειν,1
νεκροστολέω,1
μεταιτέω,14
ὠρεύω,1
συγκεκ́ρομαι,1
μέμζω,1
ἐπεκληρόω,1
συνοικέω,489
ἀποπλίσσομαι,1
πιπεπληόρνυμι,1
ναυαρχέω,27
τεκνοτροφέω,2
μιμνην́ͅσκω,15
ἀδα,1
διαρεθίζω,1
ὑπερασπάω,1
κφραττ́ω,1
ὑπερασθμαίνω,2
ἶω,1
κατακεκρύπτω,2
ἐκμάσχω,2
κεκιρδέλγω,2
εἰώθω,3
διατεταρακνέομαι,1
εἰσδραγμάνω,1
ἐπικαθαιρέω,1
ὀλίσθω,7
ἐνδεδΐημι,2
ἀληθίζω,3
συνυπερβάλλω,1
ἐκιβτάσκω,2
συντιθόω,1
προπαρεσκευαίνω,1
καταπαλαίζω,2
σθένω,86
εἴργω,45
ἑορτάω,1
δειικνύνω,2
προσδιαστέλλω,2
πάρφημί,1
εἰσιδέω,16
ἐκτάνω,9
ἀπηνδρόω,1
ἀμβολή,1
ἐπιγνώδω,3
ρυθαίνω,2
μειούρω,1
καρκινόω,3
ὡρίσιυμι,1
συριακέω,1
τρίπω,6
ἐξέλω,3
ἡλιέω,5
λιπάζω,1
ἐξάντης,5
προσισχναίνω,1
βακχεύω,26
ἐπαυλέω,14
ἁμαρτάομαι,3
ἀπηλγ́ηκα,1
ὑπεστορέζομαι,1
ἐκκολάπτω,10
τί,8
ἐπιβουλεύομαι,1
συμπροέρχομαι,15
δηγκωνίζω,1
ἕσσω,2
συντρέφο,1
ξυναλύω,1
ἑβδομαι,1
ἀντιστρατοπεδεύω,55
ἐπιπροΐημι,6
λυμήγνομαι,1
ὑποκόπτω,7
περήσεμι,1
προδιευκρινέω,1
Σάρνͅυμι,1
ἀνεικ́ημι,4
συγκεντάω,3
συμπορεύω,1
προσγελάω,8
αωοω,1
ἐπαναθεάομαι,1
πόαρ,3
δημοκρατήω,1
συνοσπάω,1
ὠφρυόω,1
ἐξίλλω,4
ὑπεξκλέπω,1
λαβίσκω,2
λουτροφόρω,1
προσενΐγκημι,2
προσεξανίστημι,1
φήνω,14
στέφω,81
καθίστημι,4933
ἐπιτάθημι,1
συνεξακολουθέω,18
συστρατηγέω,13
παννυχίζω,11
προσαπωλλύω,2
καταμιγνύω,1
προσψαύω,12
καταλελύω,1
μεταπεμ́πτω,6
ὠφαιρέω,4
ἀναρτάομαι,2
ἀναζέζομαι,1
ἐκκείτω,1
περιστεφανόω,9
συσκοτάζω,13
ἐκλοχεύω,4
μεταστέλλομαι,2
σκαίρω,9
βρύχομαι,1
ἀντιτύπτω,4
φαλακρόω,1
ἀποκορυφέω,4
παροιστράω,1
προσδέχομαι,772
προεκφοβέω,4
εἰσεπεπηδήκω,1
ἀποταμιεύω,2
συναποστέω,1
λογιόω,1
ὑπᾴσσω,1
χειρίζομαι,1
θεραπεύσω,4
ἀστυπολέω,1
ὑπερορρωδέω,2
συσχάω,1
ὑπερφθέγγομαι,5
ἀπολλύω,13
ἀρωτέω,7
ματεύω,33
Θαυμάζω,2
ἀναδεδ́ημι,1
συναποπέμπω,2
ὑπιδέω,1
προσεκπυρόω,1
τόνγω,2
ἐμπαλάσσομαι,3
διαστάζω,5
περιίπταμαι,2
βαβλάω,1
διαπλέχομαι,1
μεμοχθέω,1
φύζω,99
παρεάω,1
ἀπονεοσσεύω,1
ἐγκάθημαι,37
διαίω,1
βεβ́λλω,1
διεταφρεύω,1
γαλουχέω,1
ὄλομαι,1
παρακατιτίθημι,1
συντριβίημι,2
ματαιάζω,2
πιθηκίζω,2
συνανατείνω,3
διατένω,3
πένθω,2
προσσυνίστημι,1
πορυεσθόω,1
ἀνασπάσσω,1
ὀδοντοφυέω,13
προκινδυνεύω,121
ἀμελ́γνυμι,1
μεθαιρέω,1
ἀνάλλομαι,6
ἐπιχρήθω,1
Π,2
ἐμπιπλᾷν,1
τυπούμεναι,1
μεσεγγυάω,4
ἔκλελοιπο,1
διακερματίζω,1
οἰκτείρω,55
σκυδμαίνω,1
ἀπάντομαι,2
συναχθεσθέω,1
προλείπῃ,1
ἀνσπάω,3
ἑστ́ακα,1
ἐπιβόσκομαι,4
συνδιαφυλάσσω,3
παρολισ́σχω,1
τετηρέω,2
ξεστρατεύω,4
συμπρέπω,1
ἐπιξυντέκω,1
ἀπόχρημαι,1
συνιέω,3
ἐκτρίπτω,2
πύζομαι,3
καταπτώκω,1
ἐμτίκτω,1
ψύχω,883
ἐσμάσσω,1
ἐκδιδάζω,2
προνενικέω,2
ἐτιμάζω,1
προαποδεδεικνέομαι,5
χειρουργέω,64
προβρεγ́ω,1
ἀνηλάομαι,1
ἀποτύφω,2
ἀποσειρόω,1
ξυγκάμνω,1
φιλομυθέω,3
ἁβρύνω,10
προσκομίω,2
ἆζω,1
καλιστρέω,2
συγκατασκηνόω,1
εἰσφορέω,10
μυριαγωγέω,1
ποθίζω,1
πεμνήζομαι,2
ὡμολογακεάι,2
περιαλίζω,1
ἐπικατοπίμπρημι,1
ἀνασκεπ́τω,1
πονέομαι,10
ψυχρολουτέω,7
ἐξορκίζω,19
ἀναριστέω,1
προεξετάζω,5
τομαροφύλακα,1
ἥγω,7
συστήζομαι,1
ὑπερδεξιόω,1
ἰκμαλέω,2
προκεχαγιιρίυκω,1
ἐκτήσσω,4
ηὑρίσκω,7
ἐπιπέπηγι,1
ὁραίͅνω,1
σκεπέω,1
κατεσκεύασα,1
προσεπιστέλλω,3
φίνρι,1
εὐωδέω,6
ἐγκαταζεύγνυμι,1
κακίζω,120
καταδρύπτω,2
ἀφερμηνεύω,7
προὐκχ̈́ωρημι,2
διαθερμαίνομαι,2
παράλελυμμαι,1
ζῳοτοκέω,27
διαχρίζω,2
ἐπισυνάπτω,20
ἐπιτιμήομαι,1
παραφασ́ζομαι,1
κακκόνειμι,1
πτ́ηνυμι,1
ὑπερεκθεραπεύω,1
συμπληρόω,256
συνεξαπατάω,7
μεμισθάω,1
καταδύνω,41
βριάω,6
παραινέω,700
ὑποβρέχω,4
ὑποδάομαι,1
ὀμβρόω,1
προσενομοθετέω,1
ὑπερπληρόω,8
ξυσθασάω,1
ἐκρρήσσω,4
ἱμάα,2
χιόω,2
ἀναλάπτω,3
ἐπιδράμνυμι,2
παράκεκομμαι,1
μαμνέω,1
ὑποστροφέω,1
ἐφιέννυμι,3
συγγνώνω,4
συνεκκαλέω,2
ἀναρταίνω,1
ἐμτρίπτω,1
συναμπρεύω,1
παριφθεγ́κνυμι,5
ὑφίρω,1
συναρθρέω,9
ἱερέω,1
συνεπεισθάω,2
ἐξαγριωσάω,1
πετρέχω,1
διοφέρω,3
τετιλμνέομαι,2
σχόομαι,7
ἐπαλλάσσω,43
κατατολμέω,3
προσεγχέω,3
ἐκπονʼ́ω,1
διαπληρύσκω,1
τεθεραπέω,1
ἐνθυμεῖσθʼ,1
δήγνυμι,1
παρεγχματίζω,1
συνδιαφεύγω,1
ἐγχωρίζω,1
οβλέπω,1
διαπέπγω,3
προανακλάω,1
εἴστησω,1
δέδειπνημι,5
διαθάζω,2
κατενσκευάζω,3
ἔξασθενω,1
σίππω,1
ἀναλέω,25
παροδείκνυμι,5
κπεπολίννυμι,1
βαρυεργέω,1
πρόσιεμι,1
στρυφνέω,1
προσεμβεβλασθόω,1
ἐναντιόαμαι,1
παρεκτρέπω,2
ἑμισέω,1
εἰμί,209433
ἐκκεντέω,10
προσυπομιμνήσκω,2
προκαταίρω,1
κεκραγυίλω,2
καταπεπάρω,1
διαγνώκω,2
μέτειμι,416
διασκηνέω,4
ῥέφημι,1
ὀρνίθεσμι2,1
θρέπιω,1
καταμελιτόω,1
διαδάω,2
διαιρεθεισάω,1
ΕΝ,2
κριθαίνω,3
συνεξεύρομαι,1
σφάσσομαι,7
ἐπικαταψεύδομαι,6
συναλείβω,2
κεκωλύω,3
διαπλατύνω,2
ηἄ,2
ἀποκτένω,2
φρονηματίζομαι,30
κοταίνω,1
κραμάζω,1
